SYMBOL ENSEMBL HOCOID
DLX4 ENSG00000108813 DLX4.0.D
DLX5 ENSG00000105880 DLX5.0.D
DLX6 ENSG00000006377 DLX6.0.D
DMBX1 ENSG00000197587 DMBX1.0.D
DMRT1 ENSG00000137090 DMRT1.0.D
DPRX ENSG00000204595 DPRX.0.D
DRGX ENSG00000165606 DRGX.0.D
DUX4 ENSG00000260596 DUX4.0.A
DUXA ENSG00000258873 DUXA.0.D
E2F1 ENSG00000101412 E2F1.0.A
E2F2 ENSG00000007968 E2F2.0.B
E2F3 ENSG00000112242 E2F3.0.A
E2F4 ENSG00000205250 E2F4.0.A
E2F4 ENSG00000205250 E2F4.1.A
E2F5 ENSG00000133740 E2F5.0.B
E2F6 ENSG00000169016 E2F6.0.A
E2F7 ENSG00000165891 E2F7.0.B
E2F8 ENSG00000129173 E2F8.0.D
E4F1 ENSG00000167967 E4F1.0.D
EBF1 ENSG00000164330 COE1.0.A
EGR1 ENSG00000120738 EGR1.0.A
EGR2 ENSG00000122877 EGR2.0.A
EGR2 ENSG00000122877 EGR2.1.A
EGR3 ENSG00000179388 EGR3.0.D
EGR4 ENSG00000135625 EGR4.0.D
EHF ENSG00000135373 EHF.0.B
ELF1 ENSG00000120690 ELF1.0.A
ELF2 ENSG00000109381 ELF2.0.C
ELF3 ENSG00000163435 ELF3.0.A
ELF5 ENSG00000135374 ELF5.0.A
ELK1 ENSG00000126767 ELK1.0.B
ELK3 ENSG00000111145 ELK3.0.D
ELK4 ENSG00000158711 ELK4.0.A
EMX1 ENSG00000135638 EMX1.0.D
EMX2 ENSG00000170370 EMX2.0.D
EN1 ENSG00000163064 HME1.0.D
EN2 ENSG00000164778 HME2.0.D
EOMES ENSG00000163508 EOMES.0.D
EPAS1 ENSG00000116016 EPAS1.0.B
ERG ENSG00000157554 ERG.0.A
ESR1 ENSG00000091831 ESR1.0.A
ESR1 ENSG00000091831 ESR1.1.A
ESR2 ENSG00000140009 ESR2.0.A
ESR2 ENSG00000140009 ESR2.1.A
ESRRA ENSG00000173153 ERR1.0.A
ESRRB ENSG00000119715 ERR2.0.A
ESRRG ENSG00000196482 ERR3.0.B
ESX1 ENSG00000123576 ESX1.0.D
ETS1 ENSG00000134954 ETS1.0.A
ETS2 ENSG00000157557 ETS2.0.B
ETV1 ENSG00000006468 ETV1.0.A
ETV2 ENSG00000105672 ETV2.0.B
ETV3 ENSG00000117036 ETV3.0.D
ETV4 ENSG00000175832 ETV4.0.B
ETV5 ENSG00000244405 ETV5.0.C
ETV6 ENSG00000139083 ETV6.0.D
ETV7 ENSG00000010030 ETV7.0.D
EVX1 ENSG00000106038 EVX1.0.D
EVX2 ENSG00000174279 EVX2.0.A
FEV ENSG00000163497 FEV.0.B
FEZF1 ENSG00000128610 FEZF1.0.C
FIGLA ENSG00000183733 FIGLA.0.D
FLI1 ENSG00000151702 FLI1.0.A
FLI1 ENSG00000151702 FLI1.1.A
FOS ENSG00000170345 FOS.0.A
FOSB ENSG00000125740 FOSB.0.A
FOSL1 ENSG00000175592 FOSL1.0.A
FOSL2 ENSG00000075426 FOSL2.0.A
FOXA1 ENSG00000129514 FOXA1.0.A
FOXA2 ENSG00000125798 FOXA2.0.A
FOXA3 ENSG00000170608 FOXA3.0.B
FOXB1 ENSG00000171956 FOXB1.0.D
FOXC1 ENSG00000054598 FOXC1.0.C
FOXC2 ENSG00000176692 FOXC2.0.D
FOXD1 ENSG00000251493 FOXD1.0.D
FOXD2 ENSG00000186564 FOXD2.0.D
FOXD3 ENSG00000187140 FOXD3.0.D
FOXF1 ENSG00000103241 FOXF1.0.D
FOXF2 ENSG00000137273 FOXF2.0.D
FOXG1 ENSG00000176165 FOXG1.0.D
FOXH1 ENSG00000160973 FOXH1.0.A
FOXI1 ENSG00000168269 FOXI1.0.B
FOXJ2 ENSG00000065970 FOXJ2.0.C
FOXJ3 ENSG00000198815 FOXJ3.0.A
FOXJ3 ENSG00000198815 FOXJ3.1.B
FOXK1 ENSG00000164916 FOXK1.0.A
FOXL1 ENSG00000176678 FOXL1.0.D
FOXM1 ENSG00000111206 FOXM1.0.A
FOXO1 ENSG00000150907 FOXO1.0.A
FOXO3 ENSG00000118689 FOXO3.0.B
FOXO4 ENSG00000184481 FOXO4.0.C
FOXO6 ENSG00000204060 FOXO6.0.D
FOXP1 ENSG00000114861 FOXP1.0.A
FOXP2 ENSG00000128573 FOXP2.0.C
FOXP3 ENSG00000049768 FOXP3.0.D
FOXQ1 ENSG00000164379 FOXQ1.0.C
FUBP1 ENSG00000162613 FUBP1.0.D
GABPA ENSG00000154727 GABPA.0.A
GATA1 ENSG00000102145 GATA1.0.A
GATA1 ENSG00000102145 GATA1.1.A
GATA2 ENSG00000179348 GATA2.0.A
GATA2 ENSG00000179348 GATA2.1.A
GATA3 ENSG00000107485 GATA3.0.A
GATA4 ENSG00000136574 GATA4.0.A
GATA5 ENSG00000130700 GATA5.0.D
GATA6 ENSG00000141448 GATA6.0.A
GBX1 ENSG00000164900 GBX1.0.D
GBX2 ENSG00000168505 GBX2.0.D
GCM1 ENSG00000137270 GCM1.0.D
GCM2 ENSG00000124827 GCM2.0.D
GFI1 ENSG00000162676 GFI1.0.C
GFI1B ENSG00000165702 GFI1B.0.A
GLI1 ENSG00000111087 GLI1.0.D
GLI2 ENSG00000074047 GLI2.0.D
GLI3 ENSG00000106571 GLI3.0.B
GLIS1 ENSG00000174332 GLIS1.0.D
GLIS2 ENSG00000126603 GLIS2.0.D
GLIS3 ENSG00000107249 GLIS3.0.D
GMEB2 ENSG00000101216 GMEB2.0.D
GRHL1 ENSG00000134317 GRHL1.0.D
GRHL2 ENSG00000083307 GRHL2.0.A
GSC ENSG00000133937 GSC.0.D
GSC2 ENSG00000063515 GSC2.0.D
GSX1 ENSG00000169840 GSX1.0.D
GSX2 ENSG00000180613 GSX2.0.D
HAND1 ENSG00000113196 HAND1.0.D
HAND1 ENSG00000113196 HAND1.1.D
HBP1 ENSG00000105856 HBP1.0.D
HES1 ENSG00000114315 HES1.0.D
HES5 ENSG00000197921 HES5.0.D
HES7 ENSG00000179111 HES7.0.D
HESX1 ENSG00000163666 HESX1.0.D
HEY1 ENSG00000164683 HEY1.0.D
HEY2 ENSG00000135547 HEY2.0.D
HIC1 ENSG00000177374 HIC1.0.C
HIC2 ENSG00000169635 HIC2.0.D
HIF1A ENSG00000100644 HIF1A.0.C
HINFP ENSG00000172273 HINFP.0.C
HIVEP1 ENSG00000095951 ZEP1.0.D
HIVEP2 ENSG00000010818 ZEP2.0.D
HLF ENSG00000108924 HLF.0.C
HLTF ENSG00000071794 HLTF.0.D
HMBOX1 ENSG00000147421 HMBX1.0.D
HMGA1 ENSG00000137309 HMGA1.0.D
HMGA2 ENSG00000149948 HMGA2.0.D
HMX1 ENSG00000215612 HMX1.0.D
HMX2 ENSG00000188816 HMX2.0.D
HMX3 ENSG00000188620 HMX3.0.D
HNF1A ENSG00000135100 HNF1A.0.C
HNF1B ENSG00000275410 HNF1B.0.A
HNF1B ENSG00000275410 HNF1B.1.A
HNF4A ENSG00000101076 HNF4A.0.A
HNF4G ENSG00000164749 HNF4G.0.B
HOMEZ ENSG00000215271 HOMEZ.0.D
HOXA1 ENSG00000105991 HXA1.0.C
HOXA10 ENSG00000253293 HXA10.0.C
HOXA11 ENSG00000005073 HXA11.0.D
HOXA13 ENSG00000106031 HXA13.0.C
HOXA2 ENSG00000105996 HXA2.0.D
HOXA5 ENSG00000106004 HXA5.0.D
HOXA7 ENSG00000122592 HXA7.0.D
HOXA9 ENSG00000078399 HXA9.0.B
HOXB1 ENSG00000120094 HXB1.0.D
HOXB13 ENSG00000159184 HXB13.0.A
HOXB2 ENSG00000173917 HXB2.0.D
HOXB3 ENSG00000120093 HXB3.0.D
HOXB4 ENSG00000182742 HXB4.0.B
HOXB6 ENSG00000108511 HXB6.0.D
HOXB7 ENSG00000260027 HXB7.0.C
HOXB8 ENSG00000120068 HXB8.0.C
HOXC10 ENSG00000180818 HXC10.0.D
HOXC11 ENSG00000123388 HXC11.0.D
HOXC12 ENSG00000123407 HXC12.0.D
HOXC13 ENSG00000123364 HXC13.0.D
HOXC6 ENSG00000197757 HXC6.0.D
HOXC8 ENSG00000037965 HXC8.0.D
HOXC9 ENSG00000180806 HXC9.0.C
HOXD10 ENSG00000128710 HXD10.0.D
HOXD11 ENSG00000128713 HXD11.0.D
HOXD12 ENSG00000170178 HXD12.0.D
HOXD13 ENSG00000128714 HXD13.0.D
HOXD3 ENSG00000128652 HXD3.0.D
HOXD4 ENSG00000170166 HXD4.0.D
HOXD8 ENSG00000175879 HXD8.0.D
HOXD9 ENSG00000128709 HXD9.0.D
HSF1 ENSG00000185122 HSF1.0.A
HSF1 ENSG00000185122 HSF1.1.A
HSF2 ENSG00000025156 HSF2.0.A
HSF4 ENSG00000102878 HSF4.0.D
HSFY1 ENSG00000172468 HSFY1.0.D
ID4 ENSG00000172201 ID4.0.D
IKZF1 ENSG00000185811 IKZF1.0.C
INSM1 ENSG00000173404 INSM1.0.C
IRF1 ENSG00000125347 IRF1.0.A
IRF2 ENSG00000168310 IRF2.0.A
IRF3 ENSG00000126456 IRF3.0.B
IRF4 ENSG00000137265 IRF4.0.A
IRF5 ENSG00000128604 IRF5.0.D
IRF7 ENSG00000185507 IRF7.0.C
IRF8 ENSG00000140968 IRF8.0.B
IRF9 ENSG00000213928 IRF9.0.C
IRX2 ENSG00000170561 IRX2.0.D
IRX3 ENSG00000177508 IRX3.0.D
ISL1 ENSG00000016082 ISL1.0.A
ISL2 ENSG00000159556 ISL2.0.D
ISX ENSG00000175329 ISX.0.D
JDP2 ENSG00000140044 JDP2.0.D
JUN ENSG00000177606 JUN.0.A
JUNB ENSG00000171223 JUNB.0.A
JUND ENSG00000130522 JUND.0.A
KLF1 ENSG00000105610 KLF1.0.A
KLF12 ENSG00000118922 KLF12.0.C
KLF13 ENSG00000169926 KLF13.0.D
KLF14 ENSG00000266265 KLF14.0.D
KLF15 ENSG00000163884 KLF15.0.A
KLF16 ENSG00000129911 KLF16.0.D
KLF3 ENSG00000109787 KLF3.0.B
KLF4 ENSG00000136826 KLF4.0.A
KLF5 ENSG00000102554 KLF5.0.A
KLF6 ENSG00000067082 KLF6.0.A
KLF8 ENSG00000102349 KLF8.0.C
KLF9 ENSG00000119138 KLF9.0.C
LBX2 ENSG00000179528 LBX2.0.D
LEF1 ENSG00000138795 LEF1.0.A
LHX2 ENSG00000106689 LHX2.0.A
LHX3 ENSG00000107187 LHX3.0.C
LHX4 ENSG00000121454 LHX4.0.D
LHX6 ENSG00000106852 LHX6.0.D
LHX8 ENSG00000162624 LHX8.0.D
LHX9 ENSG00000143355 LHX9.0.D
LMX1A ENSG00000162761 LMX1A.0.D
LMX1B ENSG00000136944 LMX1B.0.D
LYL1 ENSG00000104903 LYL1.0.A
MAF ENSG00000178573 MAF.0.A
MAF ENSG00000178573 MAF.1.B
MAFA ENSG00000182759 MAFA.0.D
MAFB ENSG00000204103 MAFB.0.B
MAFF ENSG00000185022 MAFF.0.B
MAFF ENSG00000185022 MAFF.1.B
MAFG ENSG00000197063 MAFG.0.A
MAFG ENSG00000197063 MAFG.1.A
MAFK ENSG00000198517 MAFK.0.A
MAFK ENSG00000198517 MAFK.1.A
MAX ENSG00000125952 MAX.0.A
MAZ ENSG00000103495 MAZ.0.A
MAZ ENSG00000103495 MAZ.1.A
MBD2 ENSG00000134046 MBD2.0.B
MECOM ENSG00000085276 EVI1.0.B
MECP2 ENSG00000169057 MECP2.0.C
MEF2A ENSG00000068305 MEF2A.0.A
MEF2B ENSG00000213999 MEF2B.0.A
MEF2C ENSG00000081189 MEF2C.0.A
MEF2D ENSG00000116604 MEF2D.0.A
MEIS1 ENSG00000143995 MEIS1.0.A
MEIS1 ENSG00000143995 MEIS1.1.B
MEIS2 ENSG00000134138 MEIS2.0.B
MEIS3 ENSG00000105419 MEIS3.0.D
MEOX1 ENSG00000005102 MEOX1.0.D
MEOX2 ENSG00000106511 MEOX2.0.D
MESP1 ENSG00000166823 MESP1.0.D
MGA ENSG00000174197 MGAP.0.D
MITF ENSG00000187098 MITF.0.A
MIXL1 ENSG00000185155 MIXL1.0.D
MLX ENSG00000108788 MLX.0.D
MLXIPL ENSG00000009950 MLXPL.0.D
MNX1 ENSG00000130675 MNX1.0.D
MSX1 ENSG00000163132 MSX1.0.D
MSX2 ENSG00000120149 MSX2.0.D
MTF1 ENSG00000188786 MTF1.0.C
MXI1 ENSG00000119950 MXI1.0.A
MXI1 ENSG00000119950 MXI1.1.A
MYB ENSG00000118513 MYB.0.A
MYBL1 ENSG00000185697 MYBA.0.D
MYBL2 ENSG00000101057 MYBB.0.D
MYC ENSG00000136997 MYC.0.A
MYCN ENSG00000134323 MYCN.0.A
MYF6 ENSG00000111046 MYF6.0.C
MYNN ENSG00000085274 MYNN.0.D
MYOD1 ENSG00000129152 MYOD1.0.A
MYOD1 ENSG00000129152 MYOD1.1.A
MYOG ENSG00000122180 MYOG.0.B
MZF1 ENSG00000099326 MZF1.0.B
NANOG ENSG00000111704 NANOG.0.A
NANOG ENSG00000111704 NANOG.1.B
NEUROD1 ENSG00000162992 NDF1.0.A
NEUROD2 ENSG00000171532 NDF2.0.B
NEUROG2 ENSG00000178403 NGN2.0.D
NFAT5 ENSG00000102908 NFAT5.0.D
NFATC1 ENSG00000131196 NFAC1.0.B
NFATC1 ENSG00000131196 NFAC1.1.B
NFATC2 ENSG00000101096 NFAC2.0.B
NFATC3 ENSG00000072736 NFAC3.0.B
NFATC4 ENSG00000100968 NFAC4.0.C
NFE2 ENSG00000123405 NFE2.0.A
NFE2L1 ENSG00000082641 NF2L1.0.C
NFE2L2 ENSG00000116044 NF2L2.0.A
NFIA ENSG00000162599 NFIA.0.C
NFIA ENSG00000162599 NFIA.1.D
NFIB ENSG00000147862 NFIB.0.D
NFIC ENSG00000141905 NFIC.0.A
NFIC ENSG00000141905 NFIC.1.A
NFIL3 ENSG00000165030 NFIL3.0.D
NFKB1 ENSG00000109320 NFKB1.1.B
NFKB2 ENSG00000077150 NFKB2.0.B
NFYA ENSG00000001167 NFYA.0.A
NFYB ENSG00000120837 NFYB.0.A
NFYC ENSG00000066136 NFYC.0.A
NHLH1 ENSG00000171786 HEN1.0.C
NKX2-1 ENSG00000136352 NKX21.0.A
NKX2-2 ENSG00000125820 NKX22.0.D
NKX2-3 ENSG00000119919 NKX23.0.D
NKX2-5 ENSG00000183072 NKX25.0.B
NKX2-8 ENSG00000136327 NKX28.0.C
NKX3-1 ENSG00000167034 NKX31.0.C
NKX3-2 ENSG00000109705 NKX32.0.C
NKX6-1 ENSG00000163623 NKX61.0.B
NKX6-1 ENSG00000163623 NKX61.1.B
NKX6-2 ENSG00000148826 NKX62.0.D
NOBOX ENSG00000106410 NOBOX.0.C
NOTO ENSG00000214513 NOTO.0.D
NR0B1 ENSG00000169297 NR0B1.0.D
NR1D1 ENSG00000126368 NR1D1.0.B
NR1D1 ENSG00000126368 NR1D1.1.D
NR1H2 ENSG00000131408 NR1H2.0.D
NR1H3 ENSG00000025434 NR1H3.0.B
NR1H3 ENSG00000025434 NR1H3.1.B
NR1H4 ENSG00000012504 NR1H4.0.B
NR1H4 ENSG00000012504 NR1H4.1.B
NR1I2 ENSG00000144852 NR1I2.0.C
NR1I2 ENSG00000144852 NR1I2.1.D
NR1I3 ENSG00000143257 NR1I3.0.C
NR1I3 ENSG00000143257 NR1I3.1.D
NR2C1 ENSG00000120798 NR2C1.0.C
NR2C2 ENSG00000177463 NR2C2.0.B
NR2E1 ENSG00000112333 NR2E1.0.D
NR2E3 ENSG00000278570 NR2E3.0.C
NR2F1 ENSG00000175745 COT1.0.C
NR2F1 ENSG00000175745 COT1.1.C
NR2F2 ENSG00000185551 COT2.0.A
NR2F2 ENSG00000185551 COT2.1.A
NR2F6 ENSG00000160113 NR2F6.0.D
NR3C1 ENSG00000113580 GCR.0.A
NR3C1 ENSG00000113580 GCR.1.A
NR3C2 ENSG00000151623 MCR.0.D
NR4A1 ENSG00000123358 NR4A1.0.A
NR4A2 ENSG00000153234 NR4A2.0.C
NR4A3 ENSG00000119508 NR4A3.0.D
NR5A1 ENSG00000136931 STF1.0.B
NR5A2 ENSG00000116833 NR5A2.0.B
NR6A1 ENSG00000148200 NR6A1.0.B
NRF1 ENSG00000106459 NRF1.0.A
NRL ENSG00000129535 NRL.0.D
OLIG1 ENSG00000184221 OLIG1.0.D
OLIG2 ENSG00000205927 OLIG2.0.B
OLIG2 ENSG00000205927 OLIG2.1.B
OLIG3 ENSG00000177468 OLIG3.0.D
ONECUT1 ENSG00000169856 HNF6.0.B
ONECUT2 ENSG00000119547 ONEC2.0.D
ONECUT3 ENSG00000205922 ONEC3.0.D
OSR2 ENSG00000164920 OSR2.0.C
OTX1 ENSG00000115507 OTX1.0.D
OTX2 ENSG00000165588 OTX2.0.A
OVOL1 ENSG00000172818 OVOL1.0.C
OVOL2 ENSG00000125850 OVOL2.0.D
PATZ1 ENSG00000100105 PATZ1.0.C
PATZ1 ENSG00000100105 PATZ1.1.C
PAX1 ENSG00000125813 PAX1.0.D
PAX2 ENSG00000075891 PAX2.0.D
PAX3 ENSG00000135903 PAX3.0.D
PAX4 ENSG00000106331 PAX4.0.D
PAX5 ENSG00000196092 PAX5.0.A
PAX6 ENSG00000007372 PAX6.0.C
PAX7 ENSG00000009709 PAX7.0.D
PAX8 ENSG00000125618 PAX8.0.D
PBX1 ENSG00000185630 PBX1.0.A
PBX1 ENSG00000185630 PBX1.1.C
PBX2 ENSG00000204304 PBX2.0.C
PBX3 ENSG00000167081 PBX3.0.A
PBX3 ENSG00000167081 PBX3.1.A
PDX1 ENSG00000139515 PDX1.0.A
PDX1 ENSG00000139515 PDX1.1.A
PGR ENSG00000082175 PRGR.0.A
PGR ENSG00000082175 PRGR.1.A
PHOX2A ENSG00000165462 PHX2A.0.D
PHOX2B ENSG00000109132 PHX2B.0.D
PITX1 ENSG00000069011 PITX1.0.D
PITX2 ENSG00000164093 PITX2.0.D
PITX3 ENSG00000107859 PITX3.0.D
PKNOX1 ENSG00000160199 PKNX1.0.B
PLAG1 ENSG00000181690 PLAG1.0.D
PLAGL1 ENSG00000118495 PLAL1.0.D
POU1F1 ENSG00000064835 PIT1.0.C
POU2F1 ENSG00000143190 PO2F1.0.C
POU2F2 ENSG00000028277 PO2F2.0.A
POU2F3 ENSG00000137709 PO2F3.0.D
POU3F1 ENSG00000185668 PO3F1.0.C
POU3F2 ENSG00000184486 PO3F2.0.A
POU3F3 ENSG00000198914 PO3F3.0.D
POU3F4 ENSG00000196767 PO3F4.0.D
POU4F1 ENSG00000152192 PO4F1.0.D
POU4F2 ENSG00000151615 PO4F2.0.D
POU4F3 ENSG00000091010 PO4F3.0.D
POU5F1 ENSG00000204531 PO5F1.0.A
POU5F1 ENSG00000204531 PO5F1.1.A
POU5F1B ENSG00000212993 P5F1B.0.D
POU6F1 ENSG00000184271 PO6F1.0.D
POU6F2 ENSG00000106536 PO6F2.0.D
PPARA ENSG00000186951 PPARA.0.B
PPARA ENSG00000186951 PPARA.1.B
PPARD ENSG00000112033 PPARD.0.D
PPARG ENSG00000132170 PPARG.0.A
PPARG ENSG00000132170 PPARG.1.A
PRDM1 ENSG00000057657 PRDM1.0.A
PRDM14 ENSG00000147596 PRD14.0.A
PRDM4 ENSG00000110851 PRDM4.0.D
PRDM6 ENSG00000061455 PRDM6.0.C
PROP1 ENSG00000175325 PROP1.0.D
PROX1 ENSG00000117707 PROX1.0.D
PRRX1 ENSG00000116132 PRRX1.0.D
PRRX2 ENSG00000167157 PRRX2.0.C
PTF1A ENSG00000168267 PTF1A.0.B
PTF1A ENSG00000168267 PTF1A.1.B
PURA ENSG00000185129 PURA.0.D
RARA ENSG00000131759 RARA.0.A
RARA ENSG00000131759 RARA.1.A
RARA ENSG00000131759 RARA.2.A
RARB ENSG00000077092 RARB.0.D
RARG ENSG00000172819 RARG.0.B
RARG ENSG00000172819 RARG.1.B
RARG ENSG00000172819 RARG.2.D
RAX ENSG00000134438 RX.0.D
RAX2 ENSG00000173976 RAX2.0.D
RBPJ ENSG00000168214 SUH.0.A
REL ENSG00000162924 REL.0.B
RELA ENSG00000173039 TF65.0.A
RELB ENSG00000104856 RELB.0.C
REST ENSG00000084093 REST.0.A
RFX1 ENSG00000132005 RFX1.0.B
RFX1 ENSG00000132005 RFX1.1.B
RFX2 ENSG00000087903 RFX2.0.A
RFX2 ENSG00000087903 RFX2.1.A
RFX3 ENSG00000080298 RFX3.0.B
RFX4 ENSG00000111783 RFX4.0.D
RFX5 ENSG00000143390 RFX5.0.A
RFX5 ENSG00000143390 RFX5.1.A
RHOXF1 ENSG00000101883 RHXF1.0.D
RORA ENSG00000069667 RORA.0.C
RORC ENSG00000143365 RORG.0.C
RREB1 ENSG00000124782 RREB1.0.D
RUNX1 ENSG00000159216 RUNX1.0.A
RUNX2 ENSG00000124813 RUNX2.0.A
RUNX3 ENSG00000020633 RUNX3.0.A
RXRA ENSG00000186350 RXRA.0.A
RXRA ENSG00000186350 RXRA.1.A
RXRB ENSG00000204231 RXRB.0.C
RXRG ENSG00000143171 RXRG.0.B
SALL4 ENSG00000101115 SALL4.0.B
SCRT1 ENSG00000261678 SCRT1.0.D
SCRT2 ENSG00000215397 SCRT2.0.D
SHOX ENSG00000185960 SHOX.0.D
SHOX2 ENSG00000168779 SHOX2.0.D
SIX1 ENSG00000126778 SIX1.0.A
SIX2 ENSG00000170577 SIX2.0.A
SMAD1 ENSG00000170365 SMAD1.0.D
SMAD2 ENSG00000175387 SMAD2.0.A
SMAD3 ENSG00000166949 SMAD3.0.B
SMAD4 ENSG00000141646 SMAD4.0.B
SMARCA1 ENSG00000102038 SMCA1.0.C
SMARCA5 ENSG00000153147 SMCA5.0.C
SNAI1 ENSG00000124216 SNAI1.0.C
SNAI2 ENSG00000019549 SNAI2.0.A
SOX1 ENSG00000182968 SOX1.0.D
SOX10 ENSG00000100146 SOX10.0.B
SOX10 ENSG00000100146 SOX10.1.A
SOX11 ENSG00000176887 SOX11.0.D
SOX13 ENSG00000143842 SOX13.0.D
SOX15 ENSG00000129194 SOX15.0.D
SOX17 ENSG00000164736 SOX17.0.C
SOX18 ENSG00000203883 SOX18.0.D
SOX2 ENSG00000181449 SOX2.0.A
SOX2 ENSG00000181449 SOX2.1.A
SOX21 ENSG00000125285 SOX21.0.D
SOX3 ENSG00000134595 SOX3.0.B
SOX4 ENSG00000124766 SOX4.0.B
SOX5 ENSG00000134532 SOX5.0.C
SOX7 ENSG00000171056 SOX7.0.D
SOX8 ENSG00000005513 SOX8.0.D
SOX9 ENSG00000125398 SOX9.0.B
SOX9 ENSG00000125398 SOX9.1.B
SP1 ENSG00000185591 SP1.0.A
SP1 ENSG00000185591 SP1.1.A
SP2 ENSG00000167182 SP2.0.A
SP2 ENSG00000167182 SP2.1.B
SP3 ENSG00000172845 SP3.0.B
SP4 ENSG00000105866 SP4.0.A
SP4 ENSG00000105866 SP4.1.A
SPDEF ENSG00000124664 SPDEF.0.D
SPI1 ENSG00000066336 SPI1.0.A
SPIB ENSG00000269404 SPIB.0.A
SPIC ENSG00000166211 SPIC.0.D
SPZ1 ENSG00000164299 SPZ1.0.D
SREBF1 ENSG00000072310 SRBP1.0.A
SREBF2 ENSG00000198911 SRBP2.0.B
SRF ENSG00000112658 SRF.0.A
SRY ENSG00000184895 SRY.0.B
STAT1 ENSG00000115415 STAT1.0.A
STAT1 ENSG00000115415 STAT1.1.A
STAT2 ENSG00000170581 STAT2.0.A
STAT3 ENSG00000168610 STAT3.0.A
STAT4 ENSG00000138378 STAT4.0.A
STAT5A ENSG00000126561 STA5A.0.A
STAT5B ENSG00000173757 STA5B.0.A
STAT6 ENSG00000166888 STAT6.0.B
T ENSG00000164458 BRAC.0.A
T ENSG00000164458 BRAC.1.B
TAF1 ENSG00000147133 TAF1.0.A
TAL1 ENSG00000162367 TAL1.0.A
TAL1 ENSG00000162367 TAL1.1.A
TBP ENSG00000112592 TBP.0.A
TBR1 ENSG00000136535 TBR1.0.D
TBX1 ENSG00000184058 TBX1.0.D
TBX15 ENSG00000092607 TBX15.0.D
TBX19 ENSG00000143178 TBX19.0.D
